Date : 2025-11-19 14:16:42
Directory : /Users/msierradiego/Proyecto1
Total : 508 files,  71568 codes, 22869 comments, 14236 blanks, all 108673 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Property/Import.php                                   | PHP            |         66 |         59 |         18 |        143 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Property/KeyframeSelector.php                         | PHP            |         16 |          7 |          3 |         26 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Property/Selector.php                                 | PHP            |         77 |         59 |         13 |        149 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Renderable.php                                        | PHP            |          8 |         13 |          5 |         26 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Rule/Rule.php                                         | PHP            |        216 |        137 |         31 |        384 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/RuleSet/AtRuleSet.php                                 | PHP            |         39 |         33 |         10 |         82 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/RuleSet/DeclarationBlock.php                          | PHP            |        661 |        184 |         27 |        872 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/RuleSet/RuleSet.php                                   | PHP            |        207 |        126 |         25 |        358 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Settings.php                                          | PHP            |         35 |         61 |         11 |        107 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/CSSFunction.php                                 | PHP            |         51 |         48 |         11 |        110 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/CSSString.php                                   | PHP            |         67 |         40 |         10 |        117 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/CalcFunction.php                                | PHP            |         83 |         26 |          7 |        116 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/CalcRuleValueList.php                           | PHP            |         14 |          8 |          5 |         27 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/Color.php                                       | PHP            |        120 |         51 |         16 |        187 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/LineName.php                                    | PHP            |         43 |         22 |          7 |         72 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/PrimitiveValue.php                              | PHP            |          9 |          3 |          3 |         15 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/RuleValueList.php                               | PHP            |          9 |          9 |          3 |         21 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/Size.php                                        | PHP            |        137 |         86 |         25 |        248 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/URL.php                                         | PHP            |         58 |         34 |         10 |        102 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/Value.php                                       | PHP            |        155 |         52 |         12 |        219 |
| /Users/msierradiego/Proyecto1/App/vendor/sabberworm/php-css-parser/src/Value/ValueList.php                                   | PHP            |         49 |         53 |         13 |        115 |
| /Users/msierradiego/Proyecto1/README.md                                                                                      | Markdown       |         67 |          0 |         16 |         83 |
| /Users/msierradiego/Proyecto1/backup_completo.sql                                                                            | MS SQL         |      1,021 |        380 |        223 |      1,624 |
| /Users/msierradiego/Proyecto1/docker-compose.yml                                                                             | YAML           |         55 |          3 |          6 |         64 |
| Total                                                                                                                        |                |     71,568 |     22,869 |     14,236 |    108,673 |
+------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
